Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
1,T5,1,0.9014285714285715,0.9121212121212121,0.8826979472140762,0.8971684053651267
1,T5,2,0.8964285714285715,0.8954344624447718,0.8914956011730205,0.893460690668626
1,T5,3,0.8907142857142857,0.8918518518518519,0.8826979472140762,0.8872512896094326
1,T5,4,0.8942857142857142,0.8985074626865671,0.8826979472140762,0.8905325443786982
1,T5,5,0.8971428571428571,0.9051204819277109,0.8812316715542522,0.8930163447251115
1,T5,6,0.8914285714285715,0.9015151515151515,0.8724340175953079,0.886736214605067
1,T5,7,0.8964285714285715,0.9013452914798207,0.8841642228739003,0.8926720947446336
1,T5,8,0.8957142857142857,0.9227129337539433,0.8577712609970675,0.8890577507598785
1,T5,9,0.905,0.9078751857355126,0.8958944281524927,0.9018450184501845
1,T5,10,0.9028571428571428,0.9187116564417178,0.8782991202346041,0.8980509745127436
