Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
1,ViT_lookup,1,0.7878571428571428,0.8031496062992126,0.7478005865102639,0.7744874715261959
1,ViT_lookup,2,0.7921428571428571,0.7617135207496654,0.8343108504398827,0.7963610916724982
1,ViT_lookup,3,0.79,0.7957317073170732,0.7653958944281525,0.7802690582959642
1,ViT_lookup,4,0.7914285714285715,0.7746478873239436,0.8064516129032258,0.7902298850574713
1,ViT_lookup,5,0.7914285714285715,0.7671232876712328,0.8211143695014663,0.7932011331444759
1,ViT_lookup,6,0.7885714285714286,0.7688022284122563,0.8093841642228738,0.7885714285714286
1,ViT_lookup,7,0.79,0.7803468208092486,0.7917888563049853,0.7860262008733624
1,ViT_lookup,8,0.8042857142857143,0.8072289156626506,0.7859237536656891,0.7964338781575037
1,ViT_lookup,9,0.7885714285714286,0.75,0.8489736070381232,0.796423658872077
1,ViT_lookup,10,0.7821428571428571,0.7792592592592592,0.7712609970674487,0.7752394988946205
