Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
2,GPT2,1,0.895,0.888243831640058,0.8973607038123167,0.8927789934354485
2,GPT2,2,0.8807142857142857,0.8907435508345979,0.8607038123167156,0.8754660700969426
2,GPT2,3,0.885,0.9128367670364501,0.844574780058651,0.8773800456968773
2,GPT2,4,0.8892857142857142,0.8950524737631185,0.875366568914956,0.8851000741289844
2,GPT2,5,0.8928571428571429,0.8778409090909091,0.906158357771261,0.8917748917748918
2,GPT2,6,0.8778571428571429,0.8762886597938144,0.8724340175953079,0.8743570903747244
2,GPT2,7,0.8792857142857143,0.8733624454148472,0.8797653958944281,0.8765522279035792
2,GPT2,8,0.8864285714285715,0.8920539730134932,0.8724340175953079,0.8821349147516679
2,GPT2,9,0.9035714285714286,0.9051851851851852,0.8958944281524927,0.9005158437730287
2,GPT2,10,0.8821428571428571,0.8708751793400287,0.8900293255131965,0.8803480783176215
