Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
2,XGBoost,1,0.9214285714285714,0.9090909090909091,0.9281437125748503,0.9185185185185185
2,XGBoost,2,0.9285714285714286,0.9382352941176471,0.9166666666666666,0.9273255813953488
2,XGBoost,3,0.9371428571428572,0.9329268292682927,0.9329268292682927,0.9329268292682927
2,XGBoost,4,0.93,0.9390243902439024,0.913946587537092,0.9263157894736842
2,XGBoost,5,0.9342857142857143,0.9398280802292264,0.9291784702549575,0.9344729344729344
2,XGBoost,6,0.94,0.9526462395543176,0.9318801089918256,0.9421487603305785
2,XGBoost,7,0.9471428571428572,0.9527777777777777,0.9449035812672176,0.9488243430152143
2,XGBoost,8,0.9414285714285714,0.9431137724550899,0.9347181008902077,0.9388971684053651
2,XGBoost,9,0.9342857142857143,0.9351032448377581,0.9296187683284457,0.9323529411764706
2,XGBoost,10,0.9285714285714286,0.9310344827586207,0.9257142857142857,0.9283667621776505
