Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
3,ECAEfficientNet,1,0.86,0.8552631578947368,0.8577712609970675,0.8565153733528551
3,ECAEfficientNet,2,0.8685714285714285,0.8557142857142858,0.8782991202346041,0.8668596237337193
3,ECAEfficientNet,3,0.8642857142857143,0.884375,0.8299120234604106,0.8562783661119516
3,ECAEfficientNet,4,0.8664285714285714,0.8581765557163531,0.8695014662756598,0.8638018936635106
3,ECAEfficientNet,5,0.8778571428571429,0.8774002954209749,0.8709677419354839,0.8741721854304636
3,ECAEfficientNet,6,0.8564285714285714,0.8728682170542635,0.8255131964809385,0.8485305199698568
3,ECAEfficientNet,7,0.8735714285714286,0.8643578643578643,0.8782991202346041,0.8712727272727273
3,ECAEfficientNet,8,0.8692857142857143,0.8509142053445851,0.8870967741935484,0.8686288585786073
3,ECAEfficientNet,9,0.8592857142857143,0.8981937602627258,0.8020527859237536,0.8474051123160341
3,ECAEfficientNet,10,0.8685714285714285,0.8716417910447761,0.8563049853372434,0.863905325443787
