Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
2,SCSGuard,1,0.9035714285714286,0.8958031837916064,0.907624633431085,0.9016751638747269
2,SCSGuard,2,0.9164285714285715,0.9420970266040689,0.8826979472140762,0.9114307342922029
2,SCSGuard,3,0.9057142857142857,0.9154078549848943,0.8885630498533724,0.9017857142857143
2,SCSGuard,4,0.9085714285714286,0.9014492753623189,0.9120234604105572,0.9067055393586005
2,SCSGuard,5,0.9042857142857142,0.918960244648318,0.8812316715542522,0.8997005988023952
2,SCSGuard,6,0.9021428571428571,0.9185867895545314,0.8768328445747801,0.8972243060765192
2,SCSGuard,7,0.9085714285714286,0.9287925696594427,0.8797653958944281,0.9036144578313253
2,SCSGuard,8,0.9021428571428571,0.9061102831594635,0.8914956011730205,0.8987435328898744
2,SCSGuard,9,0.9057142857142857,0.9008746355685131,0.906158357771261,0.9035087719298246
2,SCSGuard,10,0.9064285714285715,0.9021897810218978,0.906158357771261,0.9041697147037308
