Run,Model,Fold,Accuracy,Precision,Recall,F1_Score
1,KNN,1,0.9157142857142856,0.9008746355685132,0.9251497005988024,0.912850812407681
1,KNN,2,0.9057142857142856,0.8938547486033519,0.9195402298850576,0.906515580736544
1,KNN,3,0.9,0.8685714285714285,0.926829268292683,0.8967551622418879
1,KNN,4,0.9071428571428573,0.9047619047619048,0.9020771513353116,0.9034175334323924
1,KNN,5,0.8914285714285715,0.8815426997245179,0.906515580736544,0.8938547486033519
1,KNN,6,0.9042857142857142,0.8968253968253969,0.9237057220708448,0.9100671140939596
1,KNN,7,0.9157142857142856,0.9086021505376344,0.931129476584022,0.9197278911564626
1,KNN,8,0.9085714285714286,0.8979591836734694,0.913946587537092,0.9058823529411764
1,KNN,9,0.9228571428571428,0.9088319088319088,0.935483870967742,0.9219653179190752
1,KNN,10,0.8885714285714286,0.8695652173913043,0.9142857142857144,0.8913649025069638
1,SVM,1,0.9228571428571428,0.9347826086956522,0.9011976047904192,0.9176829268292684
1,SVM,2,0.9271428571428572,0.940652818991098,0.9109195402298852,0.9255474452554744
1,SVM,3,0.9257142857142856,0.9394904458598726,0.899390243902439,0.9190031152647976
1,SVM,4,0.9157142857142856,0.9371069182389936,0.884272997032641,0.9099236641221374
1,SVM,5,0.9171428571428571,0.9402985074626866,0.8923512747875354,0.9156976744186046
1,SVM,6,0.9242857142857144,0.9485714285714286,0.904632152588556,0.9260808926080892
1,SVM,7,0.9385714285714286,0.9651162790697676,0.9146005509641874,0.9391796322489392
1,SVM,8,0.9285714285714286,0.9555555555555556,0.8931750741839762,0.9233128834355828
1,SVM,9,0.93,0.945121951219512,0.9090909090909092,0.9267563527653214
1,SVM,10,0.93,0.9465875370919882,0.9114285714285716,0.9286754002911208
1,CatBoost,1,0.9314285714285714,0.925595238095238,0.9311377245508982,0.928358208955224
1,CatBoost,2,0.9257142857142856,0.9404761904761904,0.9080459770114944,0.9239766081871345
1,CatBoost,3,0.9328571428571428,0.9270516717325228,0.929878048780488,0.928462709284627
1,CatBoost,4,0.9214285714285714,0.937888198757764,0.8961424332344213,0.9165402124430956
1,CatBoost,5,0.9314285714285714,0.9446064139941692,0.9178470254957508,0.9310344827586208
1,CatBoost,6,0.9314285714285714,0.9393939393939394,0.9291553133514986,0.9342465753424658
1,CatBoost,7,0.9385714285714286,0.9419889502762432,0.9393939393939394,0.9406896551724138
1,CatBoost,8,0.9357142857142856,0.9319526627218936,0.9347181008902076,0.9333333333333332
1,CatBoost,9,0.9342857142857144,0.9376854599406528,0.9266862170087976,0.9321533923303836
1,CatBoost,10,0.9271428571428572,0.9358600583090378,0.9171428571428571,0.9264069264069263
1,LogisticRegression,1,0.8357142857142857,0.7844155844155845,0.9041916167664672,0.8400556328233658
