Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
3,LogisticRegression,1,0.8357142857142857,0.7844155844155845,0.9041916167664671,0.8400556328233658
3,LogisticRegression,2,0.8371428571428572,0.8268156424581006,0.8505747126436781,0.8385269121813032
3,LogisticRegression,3,0.8342857142857143,0.8063583815028902,0.850609756097561,0.827893175074184
3,LogisticRegression,4,0.8457142857142858,0.829971181556196,0.8545994065281899,0.8421052631578947
3,LogisticRegression,5,0.8442857142857143,0.8370165745856354,0.8583569405099151,0.8475524475524475
3,LogisticRegression,6,0.8428571428571429,0.8269720101781171,0.885558583106267,0.8552631578947368
3,LogisticRegression,7,0.8242857142857143,0.8191489361702128,0.8484848484848485,0.8335588633288228
3,LogisticRegression,8,0.84,0.8205128205128205,0.8545994065281899,0.8372093023255814
3,LogisticRegression,9,0.8442857142857143,0.8169398907103825,0.8768328445747801,0.8458274398868458
3,LogisticRegression,10,0.8428571428571429,0.835195530726257,0.8542857142857143,0.844632768361582
